anime_cast,anime_company,anime_name,anime_region,anime_status,anime_tag,anime_url,anime_view,anime_year
,Studio Pierrot,鬼斩,日本,完结,游戏|百合|泡面番,http://www.dilidili.wang/anime/guizhan/,多人在线角色扮演类游戏改编，融合了日本大量的文化历史,2016年4月
,,功夫小子,日本,完结,童年|动作,http://www.dilidili.wang/anime/gfxz/,由日本漫画家 前川刚先生 创作的一部中国风的动漫早期佳作。,2000年之前
安济知佳|间岛淳司|细谷佳正|斋藤千和,BONES,棺姬嘉依卡 第二季,日本,完结,萝莉|推理|冒险|奇幻|恋爱,http://www.dilidili.wang/anime/chaika2/,水下一吻根本完全不过瘾啊！二大爷社快奉献出你的良心！,2014年10月
保志总一朗|关俊彦|关智一|井上和彦|堀江由衣|绿川光|石田彰|松山鹰志|小西克幸|绪方惠美|子安武人,STUDIO DEEN,鬼眼狂刀,日本,完结,热血|冒险|童年|动作,http://www.dilidili.wang/anime/Samuraideeper/,漫画是神作，却被动画毁了,2010年之前
花江夏树|平川大辅|前野智昭|森久保祥太郎|细谷佳正|小野贤章|诹访部顺一,,高校星歌剧,日本,完结,搞笑|青春,http://www.dilidili.wang/anime/opera/,“放弃梦想的方法，我不知道——”,2015年10月
水树奈奈,Seven Arcs,关公说事,日本,完结,搞笑|恋爱|泡面番,http://www.dilidili.wang/anime/danna/,宅男有老婆 奇妙好生活,2014年10月
安元洋贵|白石晴香|白石稔|柿原彻也|野岛健儿,动画工房,干物妹！小埋,日本,完结,搞笑|治愈系|百合,http://www.dilidili.wang/anime/umaru/,广大妹控不容错过,2015年7月
福岛润,,怪物弹珠,日本,完结,搞笑|游戏|泡面番,http://www.dilidili.wang/anime/monster-strike/,在YouTube上全球同时播放,2015年10月
大川透|家中宏|山寺宏一|田中敦子|玉川纱己子,,攻壳机动队ARISE TV版,日本,完结,科幻,http://www.dilidili.wang/anime/kokaku-a/,老版本Duang~Duang~出新番！,2015年4月
丰口惠美|朴璐美,BONES|XEBEC,钢之炼金术师第一季,日本,完结,热血|冒险|奇幻|励志|动作,http://www.dilidili.wang/anime/hagaren/,炼金术师中神作！！,2010年之前
大塚明夫|矢尾一树|水谷优子,,怪医黑杰克,日本,完结,科幻|童年|励志,http://www.dilidili.wang/anime/kuloo/,2015年新番青年怪医黑杰克是此番前作,2000年之前
矢尾一树|水谷优子,,怪医黑杰克21,日本,完结,科幻|童年|励志,http://www.dilidili.wang/anime/blakjack21/,完结篇,2010年之前
