novel_author,novel_introduction,novel_name,novel_redu,novel_shoucang,novel_startdate,novel_status,novel_tag,novel_updatedate,novel_url,novel_zishu
笹本祐一,"充满朝气的女高中生茉莉香不仅参加了宇宙快艇部的社团活动，而且还在一家复古咖啡店里打工，过着忙碌充实的生活。一天，突然有一对男女自称是她父亲的部下，向她告知了父亲的死讯并邀请她出任宇宙海盗船弁天号的船长。一个世纪前，在独立战争的混乱当中发行了一种私掠船执照，根据上面的要求，船长过世以后海盗船必须要由船长的直系子嗣继承——
一部紧张刺激的新系列太空歌剧华丽登场！",迷你裙宇宙海盗『官方正版』,188.1万,1607,2016-07-06 16:42,"
                        
                            连载中                    ",战斗|异界|科幻,2小时前,http://www.linovel.net/book/100755.html,126.7万
青岚之风," 这是一部奇幻穿越小说，以女主角雨怜红的视角展开，与人形人偶落落的友情交织，家世的扑朔迷离以及蔷薇少女真红的介入，新的世界大门在怜红之前打开，她踏上了自己选择的艰险道路，无论前路有何艰险,我依旧坚定我的选择，走下去！”穿越于各动漫小说漫画世界之间，遭遇各种困难，邂逅不一样的人不一样的事，学习世界中的各种魔法咒语刀法剑法等你意想不到的能力来磨练自己不断变强，守护和拯救自己最重要的人。本书分为暗线和主线，有着意想不到的展开哦。其中更穿插谜案和悬案，怜红以侦探身份出场，锻炼自己的推理能力，一笑道破天机，从重重迷雾之中抓住真相，经过血的洗礼后蜕变，这一切只为完成心之宏愿！
蔷薇少女强势加盟，友情与爱情的交织舞曲，更有Q番外在等着你，一起加入吧！",人偶之心,36.5万,316,2018-06-16 13:51,"
                        
                            连载中                    ",战斗|恋爱|异界,2小时前,http://www.linovel.net/book/104475.html,22.2万
清风LY,"在某个时代，一具拥有特殊能力的神像掉落在人家，给予人和野兽特殊的形态以及能力。
可就在某个实力至上的帝国中，一对本应该受到万人敬畏的兄妹却......",死神异闻录,7.3万,64,2018-07-21 11:24,"
                        
                            连载中                    ",幻想|战斗|妹控|2018轻之文库创想物语大赏1st,1小时前,http://www.linovel.net/book/104726.html,4.2万
朽翁菩提,"    即将高三毕业的陆翎玥，一直以来都过着普普通通的日常生活，本应默默无闻度过一生的他却突然踏入了“超人”的领域。
    弱小的他终于成为了他一直憧憬着的模样，但现实却是残酷的，不是每一个人都会得到上帝的眷恋。
    和平而又温馨的世界开始产生动乱，陆翎玥身边的一切都产生了巨大的变动。
    凯撒作为陆翎玥唯一的挚友，从“那一天”开始，就一次次践踏着对方脆弱的心脏。
    在全世界都背叛了陆翎玥的时候，陆翎玥到底该如何选择。
    这里所讲述的是一段充满着“青春”和“热血”的故事。",世界终端的遗弃之子,3.5万,50,6天前,"
                        
                            连载中                    ",幻想|战斗|校园|2018轻之文库创想物语大赏1st,1小时前,http://www.linovel.net/book/105535.html,2.8万
一文字森,"一只手捧着红色玫瑰的男人，另一只手攥着那个廉价的破旧的手工项链。
在无数涌来的人潮中，像是海边的岩石滞立不动。
红色，在无数黄和白的灰暗背景中。
犹如一朵黯淡破碎的火焰。",唏嘘之器,<1万,1,1天前,"
                        
                            连载中                    ",幻想|战斗,6小时前,http://www.linovel.net/book/105626.html,6113
夜雀的歌,为了拯救异世的大陆，牺牲了自身的勇者向神明许愿，希望能过平凡的日子。 愿望实现了。平凡的日子，至少勇者自己觉得很日常。 4岁的生日礼物是一本日记本，那么，来看看日记本里写了些什么吧。 ,救世后新生的日记,2.2万,19,2018-08-21 16:10,"
                        
                            连载中                    ",恋爱|日常|同人,6小时前,http://www.linovel.net/book/105380.html,1.3万
dk,普通高校生霂与杰西卡穿越到异世界，该如何拯救这个有魔王的世界，在线等，挺急的。,穿越异世界勇者与魔王传,3.1万,23,2018-04-16 20:13,"
                        
                            连载中                    ",战斗|异界|后宫,5小时前,http://www.linovel.net/book/104165.html,9005
FF7KH,"克赛尔特大陆，有着诸多神秘和奇幻的大陆，大陆一共分为五个国家，分别是大国巴德尔，辽阔之地米歌特，海洋之岛武和，异族国度青之森，中土大陆夏之国，被世人称为五大国。当然还有众多小国和附属国家。而在大陆中有两个最重要的职业推动着世界一个是【探险者】，而另一个则是【开拓者】。
      怀抱着梦想与自由的人们，属于他们的故事开始了。",Wind redemption,<1万,0,3天前,"
                        
                            连载中                    ",幻想|战斗|异界|2018轻之文库创想物语大赏1st,5小时前,http://www.linovel.net/book/105582.html,10.2万
默琼水秋,"武术———那是继承了上千年智慧与技巧的神奇魔术。
雾都渝庆市的北武女子高校在今天即将迎来一名转校生。
而与此同时，一年一度的全国武祭大赛地区选拔赛也是展开了报名。各个地区的武校都将为这场“战斗”而活跃青春洒下热血！不过在此之前，我们的转校生似乎遇到了些麻烦！？
“呐！巧儿，今晚和学姐一起睡吧！学姐会好，好，照，顾，你的哟！”
“才不要！”",武斗少女,2.3万,24,2018-08-25 22:35,"
                        
                            连载中                    ",战斗|校园|百合|2018轻之文库创想物语大赏1st,5小时前,http://www.linovel.net/book/105469.html,4.6万
黑崎荧,"『你害怕死亡吗？』
『然而，死亡真的是代表一切的终结吗？』
『还是说——死亡......』
『——才是赋予真正一切的开始？』
2037年2月25日——夜晚——学校，主人公时雨再次邂逅了一名自称灵魂使的谜之少女，由于这名少女像极了那本该在十年前的夜菱市事件中死去的汐宫凛祢，时雨也因此感到惊讶不已，随之站在他眼前的少女再次开口对他说……
“把控这个世界的死亡率，铲除那些向现世散布扭曲死亡的异端，是我的工作(Order)。”",Re：Soul Nights～夜下的镇魂曲,5.7万,22,2018-08-27 20:18,"
                        
                            连载中                    ",幻想|战斗|恋爱|2018轻之文库创想物语大赏1st,5小时前,http://www.linovel.net/book/105498.html,1.6万
